"data","hour","type","site","value"
20140513,7,"PM2.5_24h","南京-迈皋桥","63"
20140513,7,"PM10","南京-迈皋桥","145"
20140513,7,"PM10_24h","南京-迈皋桥","132"
20140513,7,"SO2","南京-迈皋桥","27"
20140513,7,"SO2_24h","南京-迈皋桥","21"
20140513,7,"NO2","南京-迈皋桥","85"
20140513,7,"NO2_24h","南京-迈皋桥","60"
20140513,7,"O3","南京-迈皋桥","20"
20140513,7,"O3_24h","南京-迈皋桥","200"
20140513,7,"O3_8h","南京-迈皋桥","32"
20140513,7,"O3_8h_24h","南京-迈皋桥","171"
20140513,7,"CO","南京-迈皋桥","0.98"
20140513,7,"CO_24h","南京-迈皋桥","0.625"
20140513,8,"AQI","南京-迈皋桥","120"
20140513,8,"PM2.5","南京-迈皋桥","91"
20140513,8,"PM2.5_24h","南京-迈皋桥","61"
20140513,8,"PM10","南京-迈皋桥","167"
20140513,8,"PM10_24h","南京-迈皋桥","132"
20140513,8,"SO2","南京-迈皋桥","36"
20140513,8,"SO2_24h","南京-迈皋桥","19"
20140513,8,"NO2","南京-迈皋桥","77"
20140513,8,"NO2_24h","南京-迈皋桥","61"
20140513,8,"O3","南京-迈皋桥","53"
20140513,8,"O3_24h","南京-迈皋桥","200"
20140513,8,"O3_8h","南京-迈皋桥","38"
20140513,8,"O3_8h_24h","南京-迈皋桥","171"
20140513,8,"CO","南京-迈皋桥","0.858"
20140513,8,"CO_24h","南京-迈皋桥","0.605"
20140513,9,"AQI","南京-迈皋桥","113"
20140513,9,"PM2.5","南京-迈皋桥","85"
20140513,9,"PM2.5_24h","南京-迈皋桥","60"
20140513,9,"PM10","南京-迈皋桥","166"
20140513,9,"PM10_24h","南京-迈皋桥","132"
20140513,9,"SO2","南京-迈皋桥","32"
20140513,9,"SO2_24h","南京-迈皋桥","18"
20140513,9,"NO2","南京-迈皋桥","74"
20140513,9,"NO2_24h","南京-迈皋桥","62"
20140513,9,"O3","南京-迈皋桥","77"
20140513,9,"O3_24h","南京-迈皋桥","200"
20140513,9,"O3_8h","南京-迈皋桥","48"
20140513,9,"O3_8h_24h","南京-迈皋桥","171"
20140513,9,"CO","南京-迈皋桥","0.848"
20140513,9,"CO_24h","南京-迈皋桥","0.599"
20140513,10,"AQI","南京-迈皋桥","110"
20140513,10,"PM2.5","南京-迈皋桥","83"
20140513,10,"PM2.5_24h","南京-迈皋桥","60"
20140513,10,"PM10","南京-迈皋桥","159"
20140513,10,"PM10_24h","南京-迈皋桥","133"
20140513,10,"SO2","南京-迈皋桥","33"
20140513,10,"SO2_24h","南京-迈皋桥","18"
20140513,10,"NO2","南京-迈皋桥","46"
20140513,10,"NO2_24h","南京-迈皋桥","62"
20140513,10,"O3","南京-迈皋桥","135"
20140513,10,"O3_24h","南京-迈皋桥","200"
20140513,10,"O3_8h","南京-迈皋桥","59"
20140513,10,"O3_8h_24h","南京-迈皋桥","171"
20140513,10,"CO","南京-迈皋桥","0.695"
20140513,10,"CO_24h","南京-迈皋桥","0.6"
20140513,11,"AQI","南京-迈皋桥","107"
20140513,11,"PM2.5","南京-迈皋桥","80"
20140513,11,"PM2.5_24h","南京-迈皋桥","61"
20140513,11,"PM10","南京-迈皋桥","145"
20140513,11,"PM10_24h","南京-迈皋桥","134"
20140513,11,"SO2","南京-迈皋桥","44"
20140513,11,"SO2_24h","南京-迈皋桥","19"
20140513,11,"NO2","南京-迈皋桥","37"
20140513,11,"NO2_24h","南京-迈皋桥","62"
20140513,11,"O3","南京-迈皋桥","168"
20140513,11,"O3_24h","南京-迈皋桥","200"
20140513,11,"O3_8h","南京-迈皋桥","74"
20140513,11,"O3_8h_24h","南京-迈皋桥","171"
20140513,11,"CO","南京-迈皋桥","0.707"
20140513,11,"CO_24h","南京-迈皋桥","0.606"
20140513,12,"AQI","南京-迈皋桥","102"
20140513,12,"PM2.5","南京-迈皋桥","76"
20140513,12,"PM2.5_24h","南京-迈皋桥","62"
20140513,12,"PM10","南京-迈皋桥","130"
20140513,12,"PM10_24h","南京-迈皋桥","135"
20140513,12,"SO2","南京-迈皋桥","38"
20140513,12,"SO2_24h","南京-迈皋桥","20"
20140513,12,"NO2","南京-迈皋桥","31"
20140513,12,"NO2_24h","南京-迈皋桥","63"
20140513,12,"O3","南京-迈皋桥","192"
20140513,12,"O3_24h","南京-迈皋桥","200"
20140513,12,"O3_8h","南京-迈皋桥","90"
20140513,12,"O3_8h_24h","南京-迈皋桥","171"
20140513,12,"CO","南京-迈皋桥","0.62"
20140513,12,"CO_24h","南京-迈皋桥","0.609"
20140513,13,"AQI","南京-迈皋桥","111"
20140513,13,"PM2.5","南京-迈皋桥","72"
20140513,13,"PM2.5_24h","南京-迈皋桥","63"
20140513,13,"PM10","南京-迈皋桥","125"
20140513,13,"PM10_24h","南京-迈皋桥","136"
20140513,13,"SO2","南京-迈皋桥","25"
20140513,13,"SO2_24h","南京-迈皋桥","20"
20140513,13,"NO2","南京-迈皋桥","27"
20140513,13,"NO2_24h","南京-迈皋桥","63"
20140513,13,"O3","南京-迈皋桥","222"
20140513,13,"O3_24h","南京-迈皋桥","222"
20140513,13,"O3_8h","南京-迈皋桥","112"
20140513,13,"O3_8h_24h","南京-迈皋桥","171"
20140513,13,"CO","南京-迈皋桥","0.676"
20140513,13,"CO_24h","南京-迈皋桥","0.618"
20140513,14,"AQI","南京-迈皋桥","110"
20140513,14,"PM2.5","南京-迈皋桥","74"
20140513,14,"PM2.5_24h","南京-迈皋桥","64"
20140513,14,"PM10","南京-迈皋桥","124"
20140513,14,"PM10_24h","南京-迈皋桥","137"
20140513,14,"SO2","南京-迈皋桥","28"
20140513,14,"SO2_24h","南京-迈皋桥","20"
20140513,14,"NO2","南京-迈皋桥","36"
20140513,14,"NO2_24h","南京-迈皋桥","64"
20140513,14,"O3","南京-迈皋桥","220"
20140513,14,"O3_24h","南京-迈皋桥","222"
20140513,14,"O3_8h","南京-迈皋桥","136"
20140513,14,"O3_8h_24h","南京-迈皋桥","171"
20140513,14,"CO","南京-迈皋桥","0.861"
20140513,14,"CO_24h","南京-迈皋桥","0.641"
20140513,15,"AQI","南京-迈皋桥","110"
20140513,15,"PM2.5","南京-迈皋桥","83"
20140513,15,"PM2.5_24h","南京-迈皋桥","66"
20140513,15,"PM10","南京-迈皋桥","136"
20140513,15,"PM10_24h","南京-迈皋桥","138"
